Name,Artists,Danceability,Energy,Speechiness,Valence,Duration_ms,Rank
lovely (with Khalid),Billie Eilish,0.351,0.296,0.0333,0.12,200186,81
Stir Fry,Migos,0.815,0.816,0.269,0.498,190288,82
HUMBLE.,Kendrick Lamar,0.908,0.621,0.102,0.421,177000,83
Vaina Loca,Ozuna,0.754,0.805,0.0752,0.555,176133,84
Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,0.587,0.299,0.0263,0.356,259550,85
Coraz?n (feat. Nego do Borel),Maluma,0.722,0.738,0.247,0.748,184720,86
Young Dumb & Broke,Khalid,0.798,0.539,0.0421,0.394,202547,87
S?guelo Bailando,Ozuna,0.855,0.664,0.0607,0.626,226800,88
Downtown,Anitta,0.775,0.679,0.135,0.619,193456,89
Bella,Wolfine,0.909,0.493,0.0735,0.844,197120,90
Promises (with Sam Smith),Calvin Harris,0.781,0.768,0.0394,0.486,213309,91
Yes Indeed,Lil Baby,0.964,0.346,0.53,0.562,142273,92
I Like Me Better,Lauv,0.752,0.505,0.253,0.419,197437,93
This Is Me,Keala Settle,0.284,0.704,0.186,0.1,234707,94
Everybody Dies In Their Nightmares,XXXTENTACION,0.734,0.57,0.133,0.689,95467,95
Rewrite The Stars,Zac Efron,0.684,0.619,0.0386,0.284,217440,96
I Miss You (feat. Julia Michaels),Clean Bandit,0.638,0.658,0.0456,0.33,205748,97
No Brainer,DJ Khaled,0.552,0.76,0.342,0.639,260000,98
Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,0.039,0.0967,239000,99
Be Alright,Dean Lewis,0.553,0.586,0.0362,0.443,196373,100
